id,batch_index,batch_size,creature_key,loss,onset_cycle
26328,4,16,181,0.36097952723503113,78
26332,7,16,181,2.5677852630615234,78
26323,1,16,181,2.5689589977264404,78
26330,5,16,181,2.4767816066741943,78
26331,6,16,181,0.2737267017364502,78
28703,0,16,182,3.648350715637207,76
28708,5,16,182,2.278107166290283,76
28704,1,16,182,3.3557000160217285,76
28709,6,16,182,0.41533365845680237,76
28707,4,16,182,0.5491284728050232,76
28710,7,13,182,2.9745569229125977,76
28706,3,16,182,2.0882084369659424,76
28705,2,16,182,0.7257421016693115,76
30996,4,16,180,0.36181914806365967,78
30997,5,16,180,2.4770963191986084,78
30995,3,16,180,2.354733467102051,78
30993,1,16,180,2.187814235687256,78
30999,7,16,180,2.5706229209899902,78
30994,2,16,180,0.4777461886405945,78
30992,0,16,180,1.9944736957550049,78
30998,6,16,180,0.27382323145866394,78
32406,3,16,181,2.34891414642334,91
32409,6,16,181,0.2736750841140747,91
32405,2,16,181,0.8376942873001099,91
32408,5,16,181,2.4764139652252197,91
32404,1,16,181,2.568432331085205,91
32407,4,16,181,0.360922247171402,91
32410,7,16,181,2.567246675491333,91
32403,0,16,181,3.8347220420837402,91
34409,6,16,182,0.273754745721817,91
34404,1,16,182,2.1875593662261963,91
34408,5,16,182,2.4756925106048584,91
34407,4,16,182,0.36161869764328003,91
34405,2,16,182,0.4776434600353241,91
34403,0,16,182,0.6310238838195801,91
34410,7,16,182,2.5708436965942383,91
34406,3,16,182,2.3544399738311768,91
36656,3,16,181,2.3484582901000977,103
36657,4,16,181,0.3608538806438446,103
36655,2,16,181,0.8376061320304871,103
36660,7,16,181,2.5671510696411133,103
36654,1,16,181,2.568063497543335,103
36659,6,16,181,0.2736681401729584,103
36653,0,16,181,3.833888292312622,103
36658,5,16,181,2.4762048721313477,103
38617,6,16,180,0.27378296852111816,91
38618,7,16,180,2.570448160171509,91
38611,0,16,180,1.993823528289795,91
38616,5,16,180,2.476696491241455,91
38612,1,16,180,2.18745756149292,91
38615,4,16,180,0.36180365085601807,91
38614,3,16,180,2.3545238971710205,91
38613,2,16,180,0.47765597701072693,91
55158,5,16,181,2.4721462726593018,145
55160,7,16,181,2.5709691047668457,145
