id,aborted,batches_completed,creature_key,engram_count,mean_eligibility,onset_cycle,std_eligibility
581495,f,8,181,128,0.23814032007847044,1425,0.26891293956030754
583842,f,8,182,128,0.23814032007847044,1542,0.26891293956030754
585845,f,8,180,128,0.23814032007847044,1470,0.26891293956030754
587126,f,8,181,128,0.23814032007847044,1438,0.26891293956030754
588652,f,8,182,128,0.23814032007847044,1555,0.26891293956030754
590391,f,8,181,128,0.23814032007847044,1451,0.26891293956030754
592160,f,8,182,128,0.23814032007847044,1567,0.26891293956030754
593843,f,8,180,128,0.23814032007847044,1482,0.26891293956030754
595452,f,8,182,128,0.23814032007847044,1582,0.26891293956030754
597796,f,8,181,128,0.23814032007847044,1465,0.26891293956030754
599402,f,8,180,128,0.23814032007847044,1495,0.26891293956030754
601302,f,8,181,128,0.23814032007847044,1482,0.26891293956030754
603063,f,8,182,128,0.23814032007847044,1595,0.26891293956030754
604805,f,8,181,128,0.23814032007847044,1498,0.26891293956030754
606702,f,8,180,128,0.23814032007847044,1509,0.26891293956030754
608552,f,8,182,128,0.23814032007847044,1609,0.26891293956030754
610502,f,8,182,128,0.23814032007847044,1621,0.26891293956030754
612426,f,8,181,128,0.23814032007847044,1514,0.26891293956030754
613848,f,8,182,128,0.23814032007847044,1634,0.26891293956030754
615489,f,8,180,128,0.23814032007847044,1523,0.26891293956030754
617724,f,8,181,128,0.23814032007847044,1526,0.26891293956030754
619302,f,8,182,128,0.23814032007847044,1648,0.26891293956030754
621219,f,8,180,128,0.23814032007847044,1538,0.26891293956030754
623452,f,8,181,128,0.23814032007847044,1545,0.26891293956030754
625324,f,8,182,128,0.23814032007847044,1661,0.26891293956030754
627185,f,8,180,128,0.23814032007847044,1550,0.26891293956030754
629257,f,8,182,128,0.23814032007847044,1684,0.26891293956030754
631371,f,8,181,128,0.23814032007847044,1562,0.26891293956030754
633312,f,8,182,128,0.23814032007847044,1698,0.26891293956030754
635072,f,8,180,128,0.23814032007847044,1562,0.26891293956030754
636837,f,8,181,128,0.23814032007847044,1577,0.26891293956030754
638996,f,8,182,128,0.23814032007847044,1711,0.26891293956030754
640302,f,8,182,128,0.23814032007847044,1726,0.26891293956030754
642213,f,8,180,128,0.23814032007847044,1575,0.26891293956030754
643169,f,8,181,128,0.23814032007847044,1589,0.26891293956030754
645573,f,8,182,128,0.23814032007847044,1738,0.26891293956030754
647852,f,8,180,128,0.23814032007847044,1589,0.26891293956030754
649588,f,8,181,128,0.23814032007847044,1603,0.26891293956030754
652514,f,8,182,128,0.23814032007847044,1751,0.26891293956030754
654516,f,8,181,128,0.23814032007847044,1617,0.26891293956030754
657002,f,8,180,128,0.23814032007847044,1604,0.26891293956030754
658302,f,8,182,128,0.23814032007847044,1764,0.26891293956030754
660091,f,8,180,128,0.23814032007847044,1617,0.26891293956030754
662188,f,8,180,128,0.23814032007847044,1632,0.26891293956030754
664261,f,8,181,128,0.23814032007847044,1631,0.26891293956030754
665289,f,8,182,128,0.23814032007847044,1782,0.26891293956030754
667302,f,8,182,128,0.23814032007847044,1795,0.26891293956030754
669197,f,8,180,128,0.23814032007847044,1646,0.26891293956030754
671152,f,8,181,128,0.23814032007847044,1645,0.26891293956030754
672702,f,8,181,128,0.23814032007847044,1658,0.26891293956030754
674829,f,8,182,128,0.23814032007847044,1811,0.26891293956030754
676802,f,8,181,128,0.23814032007847044,1673,0.26891293956030754
678202,f,8,180,128,0.23814032007847044,1658,0.26891293956030754
679902,f,8,182,128,0.23814032007847044,1823,0.26891293956030754
681341,f,8,182,128,0.23814032007847044,1835,0.26891293956030754
682852,f,8,180,128,0.23814032007847044,1672,0.26891293956030754
684752,f,8,181,128,0.23814032007847044,1688,0.26891293956030754
686402,f,8,180,128,0.23814032007847044,1686,0.26891293956030754
689194,f,8,182,128,0.23814032007847044,1848,0.26891293956030754
690352,f,8,181,128,0.23814032007847044,1703,0.26891293956030754
692013,f,8,180,128,0.23814032007847044,1699,0.26891293956030754
693652,f,8,180,128,0.23814032007847044,1712,0.26891293956030754
695571,f,8,182,128,0.23814032007847044,1860,0.26891293956030754
697386,f,8,181,128,0.23814032007847044,1718,0.26891293956030754
698752,f,8,180,128,0.23814032007847044,1725,0.26891293956030754
700852,f,8,180,128,0.23814032007847044,1738,0.26891293956030754
702442,f,8,182,128,0.23814032007847044,1877,0.26891293956030754
705057,f,8,181,128,0.23814032007847044,1734,0.26891293956030754
706497,f,8,181,128,0.23814032007847044,1747,0.26891293956030754
708247,f,8,180,128,0.23814032007847044,1752,0.26891293956030754
