creature_key,onset_cycle,batch_index,batch_size,loss
180,1350,5,16,1.2328627
180,1350,6,16,0.15648244
180,1350,7,16,1.475966
180,1364,0,16,0.31365415
180,1364,1,16,1.3023983
180,1364,2,16,0.2378128
180,1364,3,16,1.1716914
180,1364,4,16,0.20676161
180,1364,5,16,1.4218415
180,1364,6,16,0.15680188
180,1364,7,16,1.4728293
180,1379,0,16,0.31417865
180,1379,1,16,1.0908679
180,1379,2,16,0.2734823
180,1379,3,16,1.3494266
180,1379,4,16,0.2070958
180,1379,5,16,1.4180943
180,1379,6,16,0.15639476
180,1379,7,16,1.4744675
180,1392,0,16,0.31417593
180,1392,1,16,1.0908386
180,1392,2,16,0.27348012
180,1392,3,16,1.3494102
180,1392,4,16,0.20709185
180,1392,5,16,1.4180698
180,1392,6,16,0.15639096
180,1392,7,16,1.4744087
180,1405,0,16,0.36156636
180,1405,1,16,1.2551953
180,1405,2,16,0.27334276
180,1405,3,16,1.3480359
180,1405,4,16,0.20655623
180,1405,5,16,1.4195292
180,1405,6,16,0.15618408
180,1405,7,16,1.4527106
180,1419,0,16,0.36159545
180,1419,1,16,1.2552661
180,1419,2,16,0.2733493
180,1419,3,16,1.3480402
180,1419,4,16,0.20656027
180,1419,5,16,1.4195318
180,1419,6,16,0.15618178
180,1419,7,16,1.4527164
180,1432,0,16,0.36145747
180,1432,1,16,1.2544353
180,1432,2,16,0.27279413
180,1432,3,16,1.3486074
180,1432,4,16,0.20610102
180,1432,5,16,1.3996574
180,1432,6,16,0.15655752
180,1432,7,16,1.4741595
180,1445,0,16,0.3614531
180,1445,1,16,1.25439
180,1445,2,16,0.27280092
180,1445,3,16,1.3486264
180,1445,4,16,0.20609547
180,1445,5,16,1.399535
180,1445,6,16,0.15655099
180,1445,7,16,1.4741036
180,1461,0,16,0.36067587
180,1461,1,16,1.2537051
180,1461,2,16,0.27242333
180,1461,3,16,1.3286293
180,1461,4,16,0.20691736
180,1461,5,16,1.4198486
180,1461,6,16,0.15605451
180,1461,7,16,1.4536496
180,1475,0,16,0.36066923
180,1475,1,16,1.2536874
180,1475,2,16,0.27241924
180,1475,3,16,1.3286276
180,1475,4,16,0.20691592
180,1475,5,16,1.4198233
180,1475,6,16,0.15604922
180,1475,7,16,1.4536148
180,1490,0,16,0.3606643
180,1490,1,16,1.2536622
180,1490,2,16,0.2724164
180,1490,3,16,1.3286529
180,1490,4,16,0.20691322
180,1490,5,16,1.4198451
180,1490,6,16,0.15605107
180,1490,7,16,1.4536148
180,1505,0,16,0.35949805
180,1505,1,16,1.2373431
180,1505,2,16,0.27345604
180,1505,3,16,1.3475248
180,1505,4,16,0.20615922
180,1505,5,16,1.4015493
180,1505,6,16,0.15633295
180,1505,7,16,1.4737263
180,1517,0,16,0.35949743
180,1517,1,16,1.2373348
180,1517,2,16,0.2734535
180,1517,3,16,1.3475088
180,1517,4,16,0.20615676
180,1517,5,16,1.4015282
180,1517,6,16,0.15633321
180,1517,7,16,1.4737142
180,1529,0,16,0.35949197
180,1529,1,16,1.2373127
180,1529,2,16,0.27345988
180,1529,3,16,1.3475586
180,1529,4,16,0.20615353
180,1529,5,16,1.4015282
180,1529,6,16,0.1563394
180,1529,7,16,1.4737568
180,1542,0,16,0.36128375
180,1542,1,16,1.2544918
180,1542,2,16,0.27208564
180,1542,3,16,1.3318318
180,1542,4,16,0.2063788
180,1542,5,16,1.4212421
180,1542,6,16,0.1566585
180,1542,7,16,1.4746914
180,1556,0,16,0.35949782
180,1556,1,16,1.2414794
180,1556,2,16,0.2722696
180,1556,3,16,1.3504992
180,1556,4,16,0.20692067
180,1556,5,16,1.4204189
180,1556,6,16,0.15670103
180,1556,7,16,1.4760275
180,1570,0,16,0.35951114
180,1570,1,16,1.2414658
180,1570,2,16,0.272291
180,1570,3,16,1.3504211
180,1570,4,16,0.20691493
180,1570,5,16,1.4204063
180,1570,6,16,0.15669872
180,1570,7,16,1.4760002
180,1585,0,16,0.35951874
180,1585,1,16,1.2569057
180,1585,2,16,0.27328295
180,1585,3,16,1.3490676
180,1585,4,16,0.20697427
180,1585,5,16,1.4227884
180,1585,6,16,0.15646002
180,1585,7,16,1.4728119
180,1597,0,16,0.35951957
180,1597,1,16,1.2568967
180,1597,2,16,0.27328438
180,1597,3,16,1.3490963
180,1597,4,16,0.20697634
180,1597,5,16,1.4227957
180,1597,6,16,0.15645689
180,1597,7,16,1.4727964
180,1612,0,16,0.35951096
180,1612,1,16,1.2569219
180,1612,2,16,0.27328306
180,1612,3,16,1.3490684
180,1612,4,16,0.20697317
180,1612,5,16,1.4227887
180,1612,6,16,0.15646428
180,1612,7,16,1.4728563
180,1630,0,16,0.31415486
180,1630,1,16,1.3053467
180,1630,2,16,0.2380634
180,1630,3,16,1.3886089
180,1630,4,16,0.17979947
180,1630,5,16,1.4486618
180,1630,6,16,0.13614078
180,1630,7,16,1.2808936
180,1644,0,16,0.27365535
180,1644,1,16,1.3504913
180,1644,2,16,0.2064872
180,1644,3,16,1.4202276
180,1644,4,16,0.15638341
180,1644,5,16,1.259894
