time,simpleEfficiency,complexEfficiency
1.294,0.4867445574200934,0.7326819305600377
1.295,,0.7339807122433657
1.297,0.488828523623532,
1.298,0.488828523623532,0.7352771256583933
1.307,0.49055944037934035,
1.308,0.4909050010365488,0.7395113786090544
1.309,0.4922851721662235,0.7404379125013472
1.311,0.494005734515779,0.743003504245946
1.312,0.494005734515779,0.743003504245946
1.313,0.494005734515779,0.743003504245946
1.315,0.494005734515779,0.743003504245946
1.316,,0.7430035042459459
1.32,0.49913655955941844,
1.321,0.4994769754886916,0.7519053172095063
1.326,0.5008365985472295,0.753167193378484
1.327,0.5008365985472295,0.753167193378484
1.335,0.502531545060608,0.7556834462001546
1.336,0.502531545060608,0.7556834462001546
1.342,0.502531545060608,0.7556834462001546
1.343,0.5035451626730898,0.7556834462001546
1.344,0.5062425769868156,0.7611844678060883
1.345,0.5062425769868156,
1.347,0.5077536559692908,0.7635037617972739
1.349,0.5092607107757952,0.7662673962162787
1.35,0.5109304228231131,0.7681166935397229
1.351,0.5109304228231131,
1.352,,0.7681166935397229
1.353,0.5109304228231131,0.7681166935397229
1.357,0.5159096090701318,0.7759443091475915
1.358,0.5169000800824674,0.7769158783188266
1.365,0.5175594043127114,0.7778856712888365
1.385,0.5192042575862232,
1.386,0.5192042575862232,0.7803032462646506
1.387,0.5192042575862232,
1.423,0.520844183694358,
1.424,0.5211715789557412,0.7831913107599748
1.425,,0.7831913107599748
1.44,0.5226424046701645,0.7855871766097009
1.441,0.523783681315855,
1.444,0.5241093134076689,
1.445,0.5241093134076689,0.78749676448458
1.446,0.5241093134076689,
1.447,0.5257345463990343,0.7898748683220518
1.455,0.527354910997666,
1.456,0.527354910997666,0.7922431043749381
1.457,0.527354910997666,0.7922431043749381
1.458,0.527354910997666,0.7922431043749381
1.459,,0.7922431043749381
1.46,0.5337879764762226,0.8020819395893853
1.461,,0.8020819395893853
1.462,0.5353842169888448,0.803936267870585
1.463,0.5353842169888448,0.803936267870585
1.464,0.5353842169888448,
1.474,0.5353842169888448,0.803936267870585
1.485,0.5401443065025726,
1.486,0.5401443065025726,0.8108337525529457
1.5,0.5417215066000189,
1.501,0.5417215066000189,0.8131131785445613
1.502,0.5434509468987027,0.8153827367515913
1.507,0.5451746738836634,
1.508,0.5458001514548966,0.8189935048909013
1.51,0.546580842141901,
1.511,0.5470487321951978,0.8207894158873542
1.512,0.5482942266277345,0.8221322046651677
1.513,0.5492264577600832,0.8242732461356613
1.514,0.5510859863241149,0.8265825110179573
1.515,0.5523218962717632,0.8281303491346941
1.517,0.5541702084870207,0.8309933462324045
1.518,,0.8309933462324045
1.524,0.5557053939320032,
1.525,,0.8331839621627495
1.531,0.5572359807220822,0.8353647103085091
1.536,0.5587619826325491,
1.537,0.5590666340384083,
1.538,0.5593711027082503,0.838833382349786
1.54,0.5602834133974314,0.8396966032462712
1.543,0.5618002867096159,0.8418477480382739
1.545,0.5633126162209732,
1.546,0.5633126162209732,0.8439890250456908
1.547,0.5633126162209732,0.8439890250456907
1.548,0.5633126162209732,0.8439890250456906
1.549,0.5637654084385719,0.8439890250456908
1.556,0.5708065817250519,
1.557,0.5711040085390501,0.8549645967967391
1.571,0.5722919328391924,0.8569062835644484
1.573,0.5737728345773916,
1.574,0.5737728345773916,0.8587016661292126
1.575,0.5752493002677748,0.8610724629689418
1.579,0.5767213431985433,0.8628164678060911
1.58,0.5767213431985433,
1.583,0.5767213431985433,0.8628164678060909
1.588,0.5767213431985433,
1.589,0.5767213431985433,0.8628164678060909
1.598,0.5825655516988256,0.8709276577448207
1.599,0.5825655516988256,
1.604,0.584015678765534,0.872930785768039
1.607,0.5854614619700934,
1.608,0.5863267657924676,0.875718587122441
1.617,0.5869029143245624,
1.619,0.5869029143245624,0.876907438460719
1.652,0.588340048802022,
1.654,0.588340048802022,0.8788809631301804
1.667,0.5897728783366918,0.8808446200150564
1.689,0.5912014158240478,
1.691,0.5914866094079225,0.8831879828012542
1.692,0.5914866094079225,
1.693,0.5926256741209368,0.8847423304310512
1.722,0.5940456660456931,
1.723,0.5940456660456931,0.8866763839621704
1.725,0.5940456660456931,0.8866763839621703
1.754,0.596872901860273,
1.755,0.5971546090610316,0.8912778518757466
1.76,0.5982801711952379,0.8924193378480135
1.789,0.5994029509097778,
1.79,0.5999633310733422,0.8946916525851953
1.791,0.6008026414714382,
1.796,0.6024767367825585,0.8980734816725865
1.797,0.6024767367825585,0.8980734816725865
1.799,0.6024767367825585,0.8980734816725865
1.8,,0.8980734816725865
1.805,0.6024767367825585,0.8980734816725865
1.811,0.6024767367825585,
1.812,0.6024767367825585,0.8980734816725865
1.816,0.6024767367825585,0.8980734816725865
1.82,0.6038664700695091,0.9005578836934399
1.825,0.6107574059213641,0.9091153391379204
1.828,0.6117136265364169,0.9109211114694263
1.829,,0.9109211114694263
1.831,0.6134846715072865,0.9127170160163467
1.832,,0.9127170160163467
1.834,0.6134846715072865,0.9127170160163467
1.838,0.6134846715072865,0.9127170160163467
1.842,0.6175450105308634,0.9183975990540765
1.844,0.6178144026988128,0.9183975990540765
1.845,0.6178144026988128,0.9183975990540765
1.846,0.6178144026988128,
1.859,0.6178144026988128,
1.861,0.6178144026988128,
1.862,0.6178144026988128,0.9183975990540764
1.863,0.6180835794499767,0.9191005671288911
1.865,0.6207670731104566,0.9222443852520774
1.866,0.6218359489708987,0.9238906957970627
1.881,0.5327211526276049,
1.882,0.5327211526276049,0.8000659572181131
1.884,0.5327211526276049,0.800065957218113
1.889,0.5327211526276049,0.800065957218113
1.892,0.537505102189313,
1.893,0.537505102189313,0.8070127808234018
1.912,0.5390902080351471,
1.913,0.5390902080351471,0.8093086531226602
1.936,0.5406705656892925,
1.937,,0.8115946576373329
1.963,0.5422461893749786,
1.964,0.5422461893749786,0.8138707943674198
1.965,,0.8138707943674198
1.966,0.5439739010977955,0.8170408079114381
1.967,0.54538329152099,0.8183934644738373
1.968,0.54538329152099,0.8206399978501675
1.969,,0.8210881203912833
1.97,0.5485016274091976,0.8228766634419121
1.971,0.5485016274091976,0.8228766634419121
1.972,0.5485016274091976,0.8228766634419121
1.98,0.5531441898940784,0.8295274535096325
1.986,0.5546824487823698,0.8317246479630346
1.987,0.5556031914575534,0.8330382280984747
1.989,0.5577451567775716,0.8365237411587779
1.99,0.5588127477080922,0.8378242958185651
1.991,0.5589651038792091,0.8378242958185651
1.992,0.5589651038792091,0.8378242958185651
1.993,0.5592696334488747,
1.994,0.5609410790994027,0.8406299281952178
1.997,0.563815718678269,0.8447005912071495
1.998,,0.8447005912071495
1.999,0.563815718678269,0.8447005912071495
2.0,0.563815718678269,0.8447005912071495
2.001,0.563815718678269,0.8447005912071495
2.004,0.563815718678269,
2.005,0.563815718678269,0.8447005912071495
2.013,0.5662236196431294,
2.014,0.5671236068962476,
2.015,0.5692150494154995,0.8544082377727735
2.016,0.5726360733232795,0.854616905299378
2.017,0.5751510069654961,0.8589772142319804
2.018,0.5757404720073767,0.8614492529291748
2.026,0.576034939375128,0.8630892529291749
2.027,0.5772110436309906,0.8634984306137927
2.028,0.5775046289204177,0.8679712948511356
2.029,0.5823228957323878,0.871596463506408
2.03,0.5836294034857061,0.8727975508975723
2.033,0.5859424266523721,0.875586273245202
2.034,0.5861586876755838,0.8756854757605196
2.038,0.5902495337575938,0.881496979469001
2.039,0.5902495337575938,
2.04,0.5902495337575938,0.881496979469001
2.042,0.5902495337575938,0.881496979469001
2.043,0.5902495337575938,0.881496979469001
2.044,,0.881496979469001
2.045,0.5905352982994037,0.88188786885952
