creature_key,onset_cycle,batch_index,batch_size,loss
181,1010,3,16,2.3005872
181,1010,4,16,0.3533868
181,1010,5,16,2.420512
181,1010,6,16,0.2672688
181,1010,7,16,2.4889557
181,1023,0,16,0.6172448
181,1023,1,16,2.1431437
181,1023,2,16,0.46737996
181,1023,3,16,2.30065
181,1023,4,16,0.35338402
181,1023,5,16,2.42061
181,1023,6,16,0.2672751
181,1023,7,16,2.4886546
181,1036,0,16,0.61723566
181,1036,1,16,2.142971
181,1036,2,16,0.46736223
181,1036,3,16,2.3006895
181,1036,4,16,0.35335913
181,1036,5,16,2.4203508
181,1036,6,16,0.26725578
181,1036,7,16,2.488723
181,1049,0,16,0.6173351
181,1049,1,16,2.141181
181,1049,2,16,0.4667641
181,1049,3,16,2.298703
181,1049,4,16,0.35273775
181,1049,5,16,2.3985605
181,1049,6,16,0.2675517
181,1049,7,16,2.5124931
181,1067,0,16,0.6166004
181,1067,1,16,2.13928
181,1067,2,16,0.46592477
181,1067,3,16,2.278401
181,1067,4,16,0.3532867
181,1067,5,16,2.4205763
181,1067,6,16,0.26763892
181,1067,7,16,2.518559
181,1079,0,16,0.6165239
181,1079,1,16,2.1391335
181,1079,2,16,0.465923
181,1079,3,16,2.2783976
181,1079,4,16,0.3532861
181,1079,5,16,2.4205177
181,1079,6,16,0.26763403
181,1079,7,16,2.518473
181,1092,0,16,0.6165583
181,1092,1,16,2.13912
181,1092,2,16,0.46590066
181,1092,3,16,2.2781599
181,1092,4,16,0.3532976
181,1092,5,16,2.4205484
181,1092,6,16,0.2676222
181,1092,7,16,2.5181868
181,1106,0,16,0.61542135
181,1106,1,16,2.1212187
181,1106,2,16,0.4666905
181,1106,3,16,2.2986085
181,1106,4,16,0.35360602
181,1106,5,16,2.425643
181,1106,6,16,0.26809198
181,1106,7,16,2.5166013
181,1118,0,16,0.6154222
181,1118,1,16,2.1211154
181,1118,2,16,0.46668807
181,1118,3,16,2.2985861
181,1118,4,16,0.3535915
181,1118,5,16,2.4256492
181,1118,6,16,0.26807937
181,1118,7,16,2.5164838
181,1135,0,16,0.61539465
181,1135,1,16,2.1210191
181,1135,2,16,0.46667135
181,1135,3,16,2.2984438
181,1135,4,16,0.35357958
181,1135,5,16,2.4256256
181,1135,6,16,0.2680797
181,1135,7,16,2.5163982
181,1148,0,16,0.6174223
181,1148,1,16,2.1437519
181,1148,2,16,0.467642
181,1148,3,16,2.302269
181,1148,4,16,0.35307893
181,1148,5,16,2.393692
181,1148,6,16,0.26773816
181,1148,7,16,2.5146735
181,1161,0,16,0.6174134
181,1161,1,16,2.1438
181,1161,2,16,0.46764433
181,1161,3,16,2.3022237
181,1161,4,16,0.35306922
181,1161,5,16,2.3935285
181,1161,6,16,0.26772994
181,1161,7,16,2.5145183
181,1177,0,16,0.61541945
181,1177,1,16,2.1186163
